번호	열	현재 값	제안 값	왜
15	다음 액션	공고 즉시 PSST 이식·제출	12월까지 트랙션 스냅샷 확보 → 공고 즉시 PSST 이식·제출	2026년 16기 접수가 1/30~2/13이었다. 공고 후 준비로는 트랙션 지표를 못 만든다 — 실질 마감은 12월이고 10번·28번이 선행이다
25	목표·내용	융자 최대 1억, 연 3.0~3.5% — 갚는 돈	융자 최대 1억(제조업 2억) · 연 3.0~3.5% 고정 · 거치 3년 포함 총 6년 — 갚는 돈	2026-09-20 재조사: 2026년 청년전용창업자금을 정면으로 물은 검색 2건이 모두 3.0~3.5% 고정·한도 1억·거치 3년 포함 6년으로 일치했다. 앞서 들고 온 2.5%는 트랙·연도가 특정되지 않아 철회한다. 시트값은 맞는 쪽이고, 융자기간만 보강한다
25	상태 · 다음 액션	⏸️ 보류 / 현금 급할 때만	⏳ 대기 / 12월 사전상담 예약 — 60번(중복·병행 가능 범위) 결론에 따라 보류 복귀	대표님이 세 건을 함께 진행하라고 지시했다. 다만 연초 예산 소진이 있어 '급할 때 수시'로는 못 받는다 — 12월 상담이 필요하다
41	시점·마감	2026-09 초	2026-09 말 (경과 중 · 재설정 필요)	오늘이 2026-09-20이다. 40번(업종변경)과 함께 기한이 지나가는 중이고, 59번이 이 상담 결과를 기다린다
41	항목 · 목표·내용	세무사 상담 / 창업감면 적용 논점 — 업종변경 전 필수	국세청 질의 3건 + (조건부) 세무사 1회 검토 / 업종 기준 시점·감면율 구간·기산점·법인전환 승계를 인터넷상담으로 확정하고, 답변 문서를 근거로 보관	네 쟁점 모두 법령 해석 질의라 국세청이 답하는 영역이다. 무료이고 답변이 글로 남아 우리 규율에 맞다. 세무사는 감면액 규모가 확정된 뒤 선택 판단에만 1회 쓴다 — 대표님 결정(2026-09-14) 「변호사 없이 직접 판단」과 같은 방식
58(신규)	목표·내용 보강	(신규 행)	용인 = 과밀억제권역 외 · 2025-11-01 창업이라 개정 전 기준 적용 → 감면율 100% (2026-01-01 이후 창업분은 수도권 75%로 축소)	2026-01-01 이후 창업분에만 75% 구간이 적용된다는 것이 확인됐다. 창업을 1년 늦췄으면 25%가 깎였다 — 2025년 창업이 100%를 지켰다. 부칙 원문 1줄만 남았다
59(신규)	목표·내용 보강	(신규 행)	🔴 정보통신업 중 뉴스제공업(63910)은 감면 제외 업종이다. 63120 포털·정보매개서비스로 서야 하고 뉴스·기사 제공으로 읽히면 감면에서 빠진다. 교육관련 자문 및 평가업은 미포함(교육서비스업은 직업기술 학원만 포함)	업종변경(40번)에서 코드와 사업 내용 문구가 감면을 가른다. 표기 문제가 아니라 서비스 정체성 문제다
신규 제안	A트랙 61번 신설	—	최초 소득 발생 과세연도 확정 — 부가세·종소세 신고 이력으로 소득 발생 여부와 그 업종을 확인 / 시점·마감 2026-10 / 상태 ⏳ 대기	「매출 0」은 오랑 서비스 기준이다. 간이→일반과세 전환 이력이 있어 사업자 전체로는 교육 자문 매출이 있었을 수 있다. 있었다면 감면 1년차가 이미 지나갔고 그 업종이 감면 대상이 아니면 그 해 감면은 0이다
14	시점·마감	2026-12부터	즉시 (2026-09)	K-Startup·기업마당 알림은 비용 0이고 송파·서울 사업이 11~12월에 몰린다. 12월에 시작하면 늦다
25	다음 액션	현금 급할 때만	서울시 창업기업자금(실부담 2.59~3.79%, 서울신보 1577-6119)과 비교 후 택1 · 12월 사전상담	서울 이전으로 조건이 같거나 더 나은 융자가 열렸다. 갚는 돈은 하나만
C트랙 신규 6행	신설 제안	—	송파 청년창업 도전프로젝트(최대 2천만, 11~12월 공고) · 송파ICT청년창업지원센터 입주(11월 중순~12월 초) · 서울시 창업기업자금(수시) · 클라우드 크레딧 3종(즉시) · 서울창업허브 입주(수시) · SBA×신보/기보 혁신스타트업 보증(상·하반기)	자금조달_실행캘린더 §1~3. 전부 서울 소재 요건이거나 즉시 가능
18	다음 액션	경기센터 031-500-3042. 선착순 소진	서울지식재산센터(RIPC 서울) 창구로 변경 · 2027-02-27~ 예산 소진 시까지 수시	사업장이 서울로 바뀌면 관할 센터가 바뀐다
23	상태	⏳ 대기	✗ 자격 상실(서울 이전)	GBSA는 경기 소재 요건
26	상태 · 다음 액션	✅ 종결 / 2027 공고 때 재검토	✗ 자격 상실(서울 이전) / 재검토 없음	용인시 관내 요건
